ID,BANK
14,Apothekerbank - EPS
14,Arztebank -EPS
14,Bank Austria - EPS
14,Bankhaus Carl Spangler & Co. AG - EPS
14,Bankhaus Schelhammer & Schattera AG - EPS
14,BAWAG P.S.K. AG - EPS
14,Easybank AG - EPS
14,Erste Bank und Sparkassen - EPS
14,Gartnerbank - EPS
14,Hypo Alpe-Adria-Bank AG - EPS
14,HYPO-BANK BURGENLAND Aktiengesellschaft - EPS
14,Hypo Landesbank Vorarlberg - EPS
14,HYPO NOE Gruppe Bank AG - EPS
14,HYPO NOE Landesbank AG - EPS
14,"HYPO Oberosterreich, Salzburg, Steiermark - EPS"
14,Hypo Tirol Bank AG - EPS
14,Immo-Bank - EPS
14,Investkredit Bank AG - EPS
14,Raiffeisen Bankengruppe Osterreich - EPS
14,Sparda-Bank Linz - EPS
14,Sparda-Bank Villach/Innsbruck - EPS
14,Sparda Bank Wien - EPS
14,Schoellerbank AG - EPS
14,Volksbank Gruppe - EPS
14,VR-Bank Braunau - EPS
80,Giropay
80,Sofortberweisung
58,Nordea
72,Aktia
72,Danske Bank
72,Nordea
72,Op-Pohjola
72,Saastopankki
72,S-Pankki
100,Andhra Bank - CC Avenue
100,AXIS Bank - CC Avenue
100,Bank of Bahrain & Kuwait - CC Avenue
100,Bank of Baroda Corporate Accounts - CC Avenue
100,Bank of Baroda Retail Accounts - CC Avenue
100,Bank of India - CC Avenue - CC Avenue
100,Bank of Maharashtra - CC Avenue
100,Bank of Rajasthan - CC Avenue
100,Catholic Syrian Bank - CC Avenue
100,Citibank Bank Account Online - CC Avenue
100,City Union Bank - CC Avenue
100,Corporation Bank - CC Avenue
100,Deutsche Bank - CC Avenue
100,Federal Bank - CC Avenue
100,HDFC Bank - CC Avenue
100,ICICI Bank - CC Avenue
100,IDBI Bank - CC Avenue
100,Indian Bank - CC Avenue
100,Indian Overseas Bank - CC Avenue
100,IndusInd Bank - CC Avenue
100,ING Vysya Bank - CC Avenue
100,Jammu & Kashmir Bank - CC Avenue
100,Karnataka Bank - CC Avenue
100,Karur Vysya Bank - CC Avenue
100,Kotak Mahindra Bank - CC Avenue
100,Lakshmi Vilas Bank NetBanking - CC Avenue
100,Oriental Bank of Commerce - CC Avenue
100,Punjab National Bank Corporate Accounts - CC Avenue
100,Punjab National Bank Retail Accounts - CC Avenue
100,Royal Bank of Scotland N.V. - CC Avenue
100,South Indian Bank - CC Avenue
100,Standard Chartered Bank - CC Avenue
100,State Bank of Hyderabad - CC Avenue
100,State Bank of India - CC Avenue
100,State Bank of Mysore - CC Avenue
100,State Bank of Travancore - CC Avenue
100,Syndicate Bank - CC Avenue
100,Tamilnad Mercantile Bank - CC Avenue
100,United Bank of India - CC Avenue
100,Union Bank of India - CC Avenue
100,Vijaya Bank - CC Avenue
100,YES Bank - CC Avenue
152,ABN AMRO - iDeal
152,ASN Bank - iDeal
152,Friesland Bank - iDeal
152,ING - iDeal
152,Knab - iDeal
152,Rabobank - iDeal
152,SNS Bank - iDeal
152,SNS Regio Bank - iDeal
152,Triodos Bank - iDeal
152,Van Lanschot Bank - iDeal
172,eurobank - platnosc online - Dotpay
172,MeritumBank Przelew - Dotpay
172,Millennium - Platnosci Internetowe - Dotpay
172,mTransfer - Dotpay
172,MultiTransfer - Dotpay
172,Pay Way Toyota Bank - Dotpay
172,Pekao24Przelew - Dotpay
172,PeoPay - Dotpay
172,Place z Alior Bankiem - Dotpay
172,Place z Citi Handlowy Citi - Dotpay
172,Place z Idea - Dotpay
172,Place z Inteligo - Dotpay
172,Place z IPKONET - Dotpay
172,Place z IKO Bank - Dotpay
172,Plac z BOS - Dotpay
172,Plac z ING - Dotpay
172,Place z T-Mobile Uslugi Bankowe - Dotpay
172,Place z iPKO - Dotpay
172,Przelew24 - Dotpay
172,Przelew z BPH - Dotpay
172,R-Przelew - Dotpay
172,Szybkie Platnosci Internetowe z Deutsche Bank PBC - Dotpay
207,Handelsbanken
207,Nordea
207,SEB
207,Swedbank
