ID,COUNTRY,CURRENCY,CODE,NUMBER
1,Afghanistan, Afghani  , AFN  ,971
2,èland Islands, Euro  , EUR  ,978
3,Albania, Lek  , ALL  ,8
4,Algeria, Algerian Dinar  , DZD  ,12
5,American Samoa, U.S. Dollar  , USD  ,840
6,Andorra, Euro  , EUR  ,978
7,Angola, Kwanza  , AOA  ,973
8,Anguilla, East Caribbean Dollar  , XCD  ,951
9,Antigua and Barbuda, East Caribbean Dollar  , XCD  ,951
10,Argentina, Argentine Peso  , ARS  ,32
11,Armenia, Armenian Dram  , AMD  ,51
12,Aruba, Aruban Guilder  , AWG  ,533
13,Australia, Australian Dollar  , AUD  ,36
14,Austria, Euro  , EUR  ,978
15,Azerbaijan, Azerbaijanian Manat  , AZN  ,944
16,Bahamas, Bahamian Dollar  , BSD  ,44
17,Bahrain, Bahraini Dinar  , BHD  ,48
18,Bangladesh, Taka  , BDT  ,50
19,Barbados, Barbados Dollar  , BBD  ,52
20,Belarus, Belarussian Ruble  , BYR  ,974
21,Belgium, Euro  , EUR  ,978
22,Belize, Belize Dollar  , BZD  ,84
23,Benin, CFA Franc BCEAO  , XOF  ,952
24,Bermuda, Bermudian Dollar  , BMD  ,60
25,Bhutan, Indian Rupee  , INR  ,356
26,Bolivia, Boliviano  , BOB  ,68
27,Bosnia and Herzegovina, Convertible Marks  , BAM  ,977
28,Botswana, Pula  , BWP  ,72
29,Bouvet Island, Norwegian Krone  , NOK  ,578
30,Brazil, Brazilian Real  , BRL  ,986
31,British Indian Ocean Territory, U.S. Dollar  , USD  ,840
32,Brunei Darussalam, Brunei Dollar  , BND  ,96
33,Bulgaria, Bulgarian Lev  , BGN  ,975
34,Burkina Faso, CFA Franc BCEAO  , XOF  ,952
35,Burundi, Burundi Franc  , BIF  ,108
36,Cambodia, Riel  , KHR  ,116
37,Cameroon, CFA Franc BEAC  , XAF  ,950
38,Canada, Canadian Dollar  , CAD  ,124
39,Cape Verde, Cape Verde Escudo  , CVE  ,132
40,Cayman Islands, Cayman Islands Dollar  , KYD  ,136
41,Central African Republic, CFA Franc BEAC  , XAF  ,950
42,Chad, CFA Franc BEAC  , XAF  ,950
43,Chile, Chilean Peso  , CLP  ,152
44,China, Yuan Renminbi  , CNY  ,156
45,Christmas Island, Australian Dollar  , AUD  ,36
46,Cocos (Keeling) Island, Australian Dollar  , AUD  ,36
47,Colombia, Colombian Peso  , COP  ,170
48,Comoros, Comoro Franc  , KMF  ,174
49,Congo, CFA Franc BEAC  , XAF  ,950
50,"Congo, The Democratic Republic of", Congolese Franc  , CDF  ,976
51,Cook Islands, New Zealand Dollar  , NZD  ,554
52,Costa Rica, Costa Rican Colon  , CRC  ,188
53,Cìte d?Ivoire, CFA Franc BCEAO  , XOF  ,952
54,Croatia, Crotian Kuna  , HRK  ,191
55,Cuba, Cuban Peso  , CUP  ,192
56,Cyprus, Euro  , EUR  ,978
57,Czech Republic, Czech Koruna  , CZK  ,203
58,Denmark, Danish Krone  , DKK  ,208
59,Djibouti, Djibouti Franc  , DJF  ,262
60,Dominica, East Caribbean Dollar  , XCD  ,951
61,Dominican Republic, Dominican Peso  , DOP  ,214
62,Ecuador, U.S. Dollar  , USD  ,840
63,Egypt, Egyptian Pound  , EGP  ,818
64,El Salvador, El Salvador Colon  , SVC  ,222
65,Equatorial Guinea, CFA Franc BEAC  , XAF  ,950
66,Eritrea, Nakfa  , ERN  ,232
67,Estonia, Kroon  , EEK  ,233
68,Ethiopia, Ethiopian Birr  , ETB  ,230
69,Falkland Islands (Malvinas), Falkland Islands Pound  , FKP  ,238
70,Faroe Island, Danish Krone  , DKK  ,208
71,Fiji, Fiji Dollar  , FJD  ,242
72,Finland, Euro  , EUR  ,978
73,France, Euro  , EUR  ,978
74,French Guiana, Euro  , EUR  ,978
75,French Polynesia, CFP Franc  , XPF  ,953
76,French Southern Territories, Euro  , EUR  ,978
77,Gabon, CFA Franc BEAC  , XAF  ,950
78,Gambria, Dalasi  , GMD  ,270
79,Georgia, Lari  , GEL  ,981
80,Germany, Euro  , EUR  ,978
81,Ghana, Cedi  , GHS  ,936
82,Gibraltar, Gibraltar Pound  , GIP  ,292
83,Greece, Euro  , EUR  ,978
84,Greenland, Danish Krone  , DKK  ,208
85,Grenada, East Caribbean Dollar  , XCD  ,951
86,Guadeloupe, Euro  , EUR  ,978
87,Guam, U.S. Dollar  , USD  ,840
88,Guatemala, Quetzal  , GTQ  ,320
89,Guernsey, Pound Sterling  , GBP  ,826
90,Guinea, Guinea Franc  , GNF  ,324
91,Guinea-Bissau, Guinea-Bissau Peso  , GWP  ,624
92,Guyana, Guyana Dollar  , GYD  ,328
93,Haiti, Gourde  , HTG  ,332
94,Heard Island and McDonald Islands, Australian Dollar  , AUD  ,36
95,Holy See (Vatican City State), Euro  , EUR  ,978
96,Honduras, Lempira  , HNL  ,340
97,Hong Kong, Hond Kong Dollar  , HKD  ,344
98,Hungary, Forint  , HUF  ,348
99,Iceland, Iceland Krona  , ISK  ,352
100,India, Indian Rupee  , INR  ,356
101,Indonesia, Rupiah  , IDR  ,360
