ID,ACQUIRER,CARD TYPE
13,American Express,3
13,NAB,1
13,NAB,2
13,UnionPay,4
14,American Express,3
14,Barclaycard,1
14,Barclaycard,2
14,Barclaycard,5
14,Diners,1
14,Diners,2
14,Elavon,1
14,Elavon,2
14,Handelsbanken,1
14,Handelsbanken,2
14,Nets,1
14,Nets,2
14,Nordea,1
14,Nordea,2
14,SwedBank,1
14,SwedBank,2
14,Teller,1
14,Teller,2
14,UnionPay,4
14,Worldline,1
14,Worldline,2
21,American Express,3
21,Barclaycard,1
21,Barclaycard,2
21,Barclaycard,5
21,Diners,1
21,Diners,2
21,Elavon,1
21,Elavon,2
21,Bambora,1
21,Bambora,2
21,Handelsbanken,1
21,Handelsbanken,2
21,Nets,1
21,Nets,2
21,Nordea,1
21,Nordea,2
21,SwedBank,1
21,SwedBank,2
21,Teller,1
21,Teller,2
21,UnionPay,4
21,UnionPay,2
21,Worldline,1
21,Worldline,2
30,Bradesco,3
30,Ci9,1
30,Ci9,2
30,Ci9,6
30,Ci9,9
30,Rede,1
30,Rede,2
30,Rede,6
30,Rede,7
30,Rede,8
30,Ebnax,10
33,American Express,3
33,Barclaycard,1
33,Barclaycard,2
33,Barclaycard,5
33,Diners,1
33,Diners,2
33,Elavon,1
33,Elavon,2
33,Bambora,1
33,Bambora,2
33,Handelsbanken,1
33,Handelsbanken,2
33,Nets,1
33,Nets,2
33,Nordea,1
33,Nordea,2
33,SwedBank,1
33,SwedBank,2
33,Teller,1
33,Teller,2
33,UnionPay,4
33,Worldline,1
33,Worldline,2
38,First Data,1
38,First Data,2
38,First Data,11
38,First Data,6
38,Wells Fargo,1
38,Wells Fargo,2
38,Wells Fargo,11
38,Wells Fargo,6
38,UnionPay,4
56,American Express,3
56,Barclaycard,1
56,Barclaycard,2
56,Barclaycard,5
56,Diners,1
56,Diners,2
56,Elavon,1
56,Elavon,2
56,Bambora,1
56,Bambora,2
56,Handelsbanken,1
56,Handelsbanken,2
56,Nets,1
56,Nets,2
56,Nordea,1
56,Nordea,2
56,SwedBank,1
56,SwedBank,2
56,Teller,1
56,Teller,2
56,UnionPay,4
56,Worldline,1
56,Worldline,2
57,American Express,3
57,Barclaycard,1
57,Barclaycard,2
57,Barclaycard,5
57,Diners,1
57,Diners,2
57,Elavon,1
57,Elavon,2
