ID,CARD NAME,CARD ID
13,American Express,3
13,Mastercard,2
13,UnionPay,4
13,Visa,1
14,American Express,3
14,Maestro (International),5
14,Mastercard,2
14,UnionPay,4
14,Visa,1
21,American Express,3
21,Maestro (International),5
21,Mastercard,2
21,UnionPay,4
21,Visa,1
30,American Express,3
30,Aura,10
30,Diners Club International,6
30,Elo,9
30,Hiper,7
30,Hipercard,8
30,Mastercard,2
30,Visa,1
33,American Express,3
33,Maestro (International),5
33,Mastercard,2
33,UnionPay,4
33,Visa,1
38,Diners Club International,6
38,JCB,11
38,Mastercard,2
38,UnionPay,4
38,Visa,1
56,American Express,3
56,Maestro (International),5
56,Mastercard,2
56,UnionPay,4
56,Visa,1
57,American Express,3
57,Maestro (International),5
57,Mastercard,2
57,UnionPay,4
57,Visa,1
58,American Express,3
58,Dankort,12
58,Maestro (International),5
58,Mastercard,2
58,UnionPay,4
58,Visa,1
67,American Express,3
67,Maestro (International),5
67,Mastercard,2
67,UnionPay,4
67,Visa,1
72,American Express,3
72,Maestro (International),5
72,Mastercard,2
72,UnionPay,4
72,Visa,1
73,American Express,3
73,Carte Bancaires,14
73,Carte Bleue,13
73,Maestro (International),5
73,Mastercard,2
73,UnionPay,4
73,Visa,1
80,American Express,3
80,Maestro (International),5
80,Mastercard,2
80,UnionPay,4
80,Visa,1
83,American Express,3
83,Maestro (International),5
83,Mastercard,2
83,UnionPay,4
83,Visa,1
98,American Express,3
98,Maestro (International),5
98,Mastercard,2
98,UnionPay,4
98,Visa,1
100,Andhra Bank Debit Card,15
100,Canara Bank Card,16
100,Citibank Debit Card,17
100,Indian Overseas Bank Debit Card,18
100,Punjab National Bank Debit Card,19
100,State Bank of India Debit Card,20
100,Union Bank of India Debit Card,21
104,American Express,3
104,Maestro (International),5
104,Mastercard,2
104,UnionPay,4
104,Visa,1
106,American Express,3
106,CaraSi,22
106,Maestro (International),5
106,Mastercard,2
106,UnionPay,4
106,Visa,1
119,American Express,3
119,Maestro (International),5
119,Mastercard,2
119,UnionPay,4
119,Visa,1
124,American Express,3
124,Maestro (International),5
124,Mastercard,2
124,UnionPay,4
124,Visa,1
125,American Express,3
125,Maestro (International),5
125,Mastercard,2
125,UnionPay,4
125,Visa,1
126,American Express,3
126,Maestro (International),5
126,Mastercard,2
126,UnionPay,4
126,Visa,1
134,American Express,3
134,Maestro (International),5
134,Mastercard,2
134,UnionPay,4
134,Visa,1
140,American Express,3
140,Mastercard,2
140,Visa,1
152,American Express,3
152,Maestro (International),5
152,Mastercard,2
152,UnionPay,4
152,Visa,1
162,American Express,3
162,Maestro (International),5
162,Mastercard,2
162,UnionPay,4
162,Visa,1
172,American Express,3
172,Maestro (International),5
172,Mastercard,2
172,UnionPay,4
172,Visa,1
173,American Express,3
173,Maestro (International),5
173,Mastercard,2
173,UnionPay,4
173,Visa,1
177,American Express,3
177,Maestro (International),5
177,Mastercard,2
177,UnionPay,4
177,Visa,1
196,American Express,3
196,Maestro (International),5
196,Mastercard,2
196,UnionPay,4
196,Visa,1
197,American Express,3
197,Maestro (International),5
197,Mastercard,2
197,UnionPay,4
197,Visa,1
201,American Express,3
201,Maestro (International),5
201,Mastercard,2
201,UnionPay,4
201,Visa,1
207,American Express,3
207,Maestro (International),5
207,Mastercard,2
207,UnionPay,4
207,Visa,1
227,American Express,3
227,Diners Club International,6
227,JCB,11
227,Maestro (International),5
227,Mastercard,2
227,UnionPay,4
227,Visa,1
228,American Express,3
228,Diners Club International,6
228,Discover,23
228,JCB,11
228,Mastercard,2
228,UnionPay,4
228,Visa,1
