Number,Currency
971,Afghani
12,Algerian Dinar
32,Argentine Peso
51,Armenian Dram
533,Aruban Guilder
36,Australian Dollar
944,Azerbaijanian Manat
44,Bahamian Dollar
48,Bahraini Dinar
764,Baht
590,Balboa
52,Barbados Dollar
974,Belarussian Ruble
84,Belize Dollar
60,Bermudian Dollar
937,Bolivar Fuerte
68,Boliviano
986,Brazilian Real
96,Brunei Dollar
975,Bulgarian Lev
108,Burundi Franc
124,Canadian Dollar
132,Cape Verde Escudo
136,Cayman Islands Dollar
936,Cedi
952,CFA Franc BCEAO
950,CFA Franc BEAC
953,CFP Franc
152,Chilean Peso
170,Colombian Peso
174,Comoro Franc
976,Congolese Franc
977,Convertible Marks
558,Cordoba Oro
188,Costa Rican Colon
191,Crotian Kuna
192,Cuban Peso
203,Czech Koruna
270,Dalasi
208,Danish Krone
807,Denar
262,Djibouti Franc
678,Dobra
214,Dominican Peso
704,Dong
951,East Caribbean Dollar
818,Egyptian Pound
222,El Salvador Colon
230,Ethiopian Birr
978,Euro
238,Falkland Islands Pound
242,Fiji Dollar
348,Forint
292,Gibraltar Pound
332,Gourde
600,Guarani
324,Guinea Franc
624,Guinea-Bissau Peso
328,Guyana Dollar
344,Hond Kong Dollar
980,Hryvnia
352,Iceland Krona
356,Indian Rupee
364,Iranian Rial
368,Iraqi Dinar
388,Jamaican Dollar
400,Jordanian Dinar
404,Kenyan Shilling
598,Kina
418,Kip
233,Kroon
414,Kuwaiti Dinar
454,Kwacha
973,Kwanza
104,Kyat
981,Lari
428,Latvian Lats
422,Lebanese Pound
8,Lek
340,Lempira
694,Leone
430,Liberian Dollar
434,Libyan Dinar
748,Lilangeni
440,Lithuanian Litas
969,Malagasy Ariary
458,Malaysian Ringgit
934,Manat
480,Mauritius Rupee
943,Metical
484,Mexican Peso
498,Moldovan Leu
504,Moroccan Dirham
566,Naira
232,Nakfa
524,Nepalese Rupee
532,Netherlands Antillian Guilder
376,New Isreali Sheqel
946,New Leu
901,New Taiwan Dollar
554,New Zealand Dollar
408,North Korean Won
578,Norwegian Krone
578,Norweigian Krone
604,Nuevo Sol
478,Ouguiya
776,Pa’anga
586,Pakistan Rupee
446,Pataca
858,Peso Uruguayo
608,Philippine Peso
826,Pound Sterling
72,Pula
634,Qatari Rial
320,Quetzal
710,Rand
512,Rial Omani
116,Riel
462,Rufiyaa
360,Rupiah
643,Russian Ruble
646,Rwanda Franc
654,Saint Helena Pound
682,Saudi Riyal
941,Serbian Dinar
690,Seychelles Rupee
702,Singapore Dollar
90,Solomon Islands Dollar
417,Som
706,Somali Shilling
972,Somoni
144,Sri Lanka Rupee
938,Sudanese Pound
968,Surinam Dollar
752,Swedish Krona
756,Swiss Franc
760,Syrian Pound
50,Taka
882,Tala
834,Tanzanian Shilling
398,Tenge
780,Trinidad and Tobago Dollar
496,Tugrik
788,Tunisian Dinar
949,Turkish Lira
840,U.S. Dollar
978,U.S. Dollar
784,UAE Dirham
800,Uganda Shilling
860,Uzbekistan Sum
548,Vatu
410,Won
886,Yemeni Rial
392,Yen
156,Yuan Renminbi
894,Zambian Kwacha
935,Zimbabwe Dollar
985,Zloty
