ID,COUNTRY,CURRENCY,CODE,NUMBER,REGION
1,Afghanistan,Afghani,AFN,971,Asia
2,èland Islands,Euro,EUR,978,EMEA
3,Albania,Lek,ALL,8,Europe
4,Algeria,Algerian Dinar,DZD,12,Africa
5,American Samoa,U.S. Dollar,USD,840,APAC
6,Andorra,Euro,EUR,978,Europe
7,Angola,Kwanza,AOA,973,Africa
8,Anguilla,East Caribbean Dollar,XCD,951,Americas
9,Antigua and Barbuda,East Caribbean Dollar,XCD,951,North America
10,Argentina,Argentine Peso,ARS,32,South America
11,Armenia,Armenian Dram,AMD,51,Europe
12,Aruba,Aruban Guilder,AWG,533,Americas
13,Australia,Australian Dollar,AUD,36,Asia Pacific
14,Austria,Euro,EUR,978,Europe
15,Azerbaijan,Azerbaijanian Manat,AZN,944,Europe
16,Bahamas,Bahamian Dollar,BSD,44,North America
17,Bahrain,Bahraini Dinar,BHD,48,Asia
18,Bangladesh,Taka,BDT,50,Asia
19,Barbados,Barbados Dollar,BBD,52,North America
20,Belarus,Belarussian Ruble,BYR,974,Europe
21,Belgium,Euro,EUR,978,Europe
22,Belize,Belize Dollar,BZD,84,North America
23,Benin,CFA Franc BCEAO,XOF,952,Africa
24,Bermuda,Bermudian Dollar,BMD,60,Americas?
25,Bhutan,Indian Rupee,INR,356,Asia
26,Bolivia,Boliviano,BOB,68,South America
27,Bosnia and Herzegovina,Convertible Marks,BAM,977,Europe
28,Botswana,Pula,BWP,72,Africa
29,Bouvet Island,Norwegian Krone,NOK,578,??
30,Brazil,Brazilian Real,BRL,986,South America
31,British Indian Ocean Territory,U.S. Dollar,USD,840,EMEA?
32,Brunei Darussalam,Brunei Dollar,BND,96,Asia
33,Bulgaria,Bulgarian Lev,BGN,975,Europe
34,Burkina Faso,CFA Franc BCEAO,XOF,952,Africa
35,Burundi,Burundi Franc,BIF,108,Africa
36,Cambodia,Riel,KHR,116,Asia
37,Cameroon,CFA Franc BEAC,XAF,950,Africa
38,Canada,Canadian Dollar,CAD,124,North America
39,Cape Verde,Cape Verde Escudo,CVE,132,Africa
40,Cayman Islands,Cayman Islands Dollar,KYD,136,Americas
41,Central African Republic,CFA Franc BEAC,XAF,950,Africa
42,Chad,CFA Franc BEAC,XAF,950,Africa
43,Chile,Chilean Peso,CLP,152,South America
44,China,Yuan Renminbi,CNY,156,Asia
45,Christmas Island,Australian Dollar,AUD,36,APAC
46,Cocos (Keeling) Island,Australian Dollar,AUD,36,APAC
47,Colombia,Colombian Peso,COP,170,South America
48,Comoros,Comoro Franc,KMF,174,Africa
49,Congo,CFA Franc BEAC,XAF,950,Africa
50,"Congo,The Democratic Republic of",Congolese Franc,CDF,976,Africa
51,Cook Islands,New Zealand Dollar,NZD,554,Asia Pacific
52,Costa Rica,Costa Rican Colon,CRC,188,North America
53,Cìte d?Ivoire,CFA Franc BCEAO,XOF,952,EMEA
54,Croatia,Crotian Kuna,HRK,191,Europe
55,Cuba,Cuban Peso,CUP,192,North America
56,Cyprus,Euro,EUR,978,Europe
57,Czech Republic,Czech Koruna,CZK,203,Europe
58,Denmark,Danish Krone,DKK,208,Europe
59,Djibouti,Djibouti Franc,DJF,262,Africa
60,Dominica,East Caribbean Dollar,XCD,951,North America
61,Dominican Republic,Dominican Peso,DOP,214,North America
62,Ecuador,U.S. Dollar,USD,840,South America
63,Egypt,Egyptian Pound,EGP,818,Africa
64,El Salvador,El Salvador Colon,SVC,222,North America
65,Equatorial Guinea,CFA Franc BEAC,XAF,950,Africa
66,Eritrea,Nakfa,ERN,232,EMEA
67,Estonia,Kroon,EEK,233,Africa
68,Ethiopia,Ethiopian Birr,ETB,230,Africa
69,Falkland Islands (Malvinas),Falkland Islands Pound,FKP,238,South America
70,Faroe Island,Danish Krone,DKK,208,EMEA
71,Fiji,Fiji Dollar,FJD,242,Asia Pacific
72,Finland,Euro,EUR,978,Europe
73,France,Euro,EUR,978,Europe
74,French Guiana,Euro,EUR,978,South America
75,French Polynesia,CFP Franc,XPF,953,APAC?
76,French Southern Territories,Euro,EUR,978,APAC?
77,Gabon,CFA Franc BEAC,XAF,950,Africa
78,Gambria,Dalasi,GMD,270,Africa
79,Georgia,Lari,GEL,981,Europe
80,Germany,Euro,EUR,978,Europe
81,Ghana,Cedi,GHS,936,Africa
82,Gibraltar,Gibraltar Pound,GIP,292,EMEA
83,Greece,Euro,EUR,978,Europe
84,Greenland,Danish Krone,DKK,208,Americas
85,Grenada,East Caribbean Dollar,XCD,951,North America
86,Guadeloupe,Euro,EUR,978,Americas
87,Guam,U.S. Dollar,USD,840,APAC
88,Guatemala,Quetzal,GTQ,320,North America
89,Guernsey,Pound Sterling,GBP,826,EMEA
90,Guinea,Guinea Franc,GNF,324,EMEA
91,Guinea-Bissau,Guinea-Bissau Peso,GWP,624,EMEA
92,Guyana,Guyana Dollar,GYD,328,South America
93,Haiti,Gourde,HTG,332,North America
94,Heard Island and McDonald Islands,Australian Dollar,AUD,36,??
95,Holy See (Vatican City State),Euro,EUR,978,EMEA
96,Honduras,Lempira,HNL,340,North America
97,Hong Kong,Hond Kong Dollar,HKD,344,Asia
98,Hungary,Forint,HUF,348,Europe
99,Iceland,Iceland Krona,ISK,352,Europe
100,India,Indian Rupee,INR,356,Asia
101,Indonesia,Rupiah,IDR,360,Asia Pacific
102,"Iran,Islamic Republic of",Iranian Rial,IRR,364,Asia
103,Iraq,Iraqi Dinar,IQD,368,Asia
104,Ireland,Euro,EUR,978,Europe
105,Isreal,New Isreali Sheqel,ILS,376,Asia
106,Italy,Euro,EUR,978,Europe
107,Jamaica,Jamaican Dollar,JMD,388,North America
108,Japan,Yen,JPY,392,Asia
109,Jersey,Pound Sterling,GBP,826,EMEA
110,Jordan,Jordanian Dinar,JOD,400,Asia
111,Kazakhstan,Tenge,KZT,398,Asia
112,Kenya,Kenyan Shilling,KES,404,Africa
113,Kiribati,Australian Dollar,AUD,36,Asia Pacific
115,South Korea,Won,KRW,410,Asia
116,Kuwait,Kuwaiti Dinar,KWD,414,Asia
117,Kyrgyzstan,Som,KGS,417,Asia
118,Lao People's Democratic Republic,Kip,LAK,418,Asia
119,Latvia,Latvian Lats,LVL,428,Europe
120,Lebanon,Lebanese Pound,LBP,422,Asia
121,Lesotho,Rand,Zar,710,Africa
122,Liberia,Liberian Dollar,LRD,430,Africa
123,Libyan Arab Jamahiriya,Libyan Dinar,LYD,434,Africa
124,Liechtenstein,Swiss Franc,CHF,756,Europe
125,Lithuania,Lithuanian Litas,LTL,440,Europe
126,Luxembourg,Euro,EUR,978,Europe
127,Macao,Pataca,MOP,446,APAC
128,"Macedonia,The Former Republic of",Denar,MKD,807,Europe
129,Madagascar,Malagasy Ariary,MGA,969,Africa
130,Malawi,Kwacha,MWK,454,Africa
131,Malaysia,Malaysian Ringgit,MYR,458,Asia
132,Maldives,Rufiyaa,MVR,462,Asia
133,Mali,CFA Franc BCEAO,XOF,952,Africa
134,Malta,Euro,EUR,978,Europe
135,Marshall Islands,U.S. Dollar,USD,840,Asia Pacific
136,Martinique,Euro,EUR,978,Americas
137,Mauritania,Ouguiya,MRO,478,Africa
138,Mauritius,Mauritius Rupee,MUR,480,Africa
139,Mayotte,Euro,EUR,978,Africa
140,Mexico,Mexican Peso,MXN,484,North America
141,Federated States of Micronesia,U.S. Dollar,USD,840,Asia Pacific
142,"Moldova,Republic of",Moldovan Leu,MDL,498,Europe
143,Monaco,Euro,EUR,978,Europe
144,Mongolia,Tugrik,MNT,496,Asia
145,Montenegro,Euro,EUR,978,Europe
146,Montserrat,East Caribbean Dollar,XCD,951,Americas
147,Morocco,Moroccan Dirham,MAD,504,Africa
148,Mozambique,Metical,MZN,943,Africa
149,Myanmar,Kyat,MMK,104,Asia
150,Namibia,Rand,ZAR,710,Africa
151,Nepal,Nepalese Rupee,NPR,524,Asia
152,Netherlands,Euro,EUR,978,Europe
153,Netherlands Antilles,Netherlands Antillian Guilder,ANG,532,Americas
154,New Caledonia,CFP Franc,XPF,953,APAC
155,New Zealand,New Zealand Dollar,NZD,554,Asia Pacific
156,Nicaragua,Cordoba Oro,NIO,558,North America
157,Niger,CFA Franc BCEAO,XOF,952,Africa
158,Nigeria,Naira,NGN,566,Africa
159,Niue,New Zealand Dollar,NZD,554,Asia Pacific
160,Norfolk Island,Australian Dollar,AUD,36,APAC
161,Northern Mariana Islands,U.S. Dollar,USD,840,APAC
162,Norway,Norweigian Krone,NOK,578,Europe
163,Oman,Rial Omani,OMR,512,Asia
164,Pakistan,Pakistan Rupee,PKR,586,Asia
165,Palau,U.S. Dollar,USD,840,Asia Pacific
166,Panama,Balboa,PAB,590,North America
167,Papua New Guinea,Kina,PGK,598,Asia Pacific
168,Paraguay,Guarani,PYG,600,South America
169,Peru,Nuevo Sol,PEN,604,South America
170,Philippines,Philippine Peso,PHP,608,Asia
171,Pitcairn,New Zealand Dollar,NZD,554,APAC?
172,Poland,Zloty,PLN,985,Europe
173,Portugal,Euro,EUR,978,Europe
174,Puerto Rico,U.S. Dollar,USD,840,Americas
175,Qatar,Qatari Rial,QAR,634,Asia
176,RÈunion,Euro,EUR,978,Africa
177,Romania,New Leu,RON,946,Europe
178,Russian Federation,Russian Ruble,RUB,643,Europe
179,Rwanda,Rwanda Franc,RWF,646,Africa
180,Saint Helena,Saint Helena Pound,SHP,654,Africa
181,Saint Kitts and Nevis,East Caribbean Dollar,XCD,951,North America
182,Saint Lucia,East Caribbean Dollar,XCD,951,North America
183,Saint Martin,Euro,EUR,978,Americas
184,Saint Pierre and Miquelon,Euro,EUR,978,Americas
185,Saint Vincent and The Grenadines,East Caribbean Dollar,XCD,951,North America
186,Saint-Barthelemy,Euro,EUR,978,Americas
187,Samoa,Tala,WST,882,Asia Pacific
188,San Marino,Euro,EUR,978,Europe
189,Sao Tome and Principe,Dobra,STD,678,EMEA
190,Saudi Arabia,Saudi Riyal,SAR,682,Asia
191,Senegal,CFA Franc BCEAO,XOF,952,Africa
192,Serbia,Serbian Dinar,RSD,941,Europe
193,Seychelles,Seychelles Rupee,SCR,690,Africa
194,Sierra Leone,Leone,SLL,694,Africa
195,Singapore,Singapore Dollar,SGD,702,Asia
196,Slovakia,Euro,EUR,978,Europe
197,Slovenia,Euro,EUR,978,Europe
198,Solomon Islands,Solomon Islands Dollar,SBD,90,Asia Pacific
199,Somalia,Somali Shilling,SOS,706,Africa
200,South Africa,Rand,ZAR,710,Africa
201,Spain,Euro,EUR,978,Europe
202,Sri Lanka,Sri Lanka Rupee,LKR,144,Asia
203,Sudan,Sudanese Pound,SDG,938,Africa
204,Suriname,Surinam Dollar,SRD,968,South America
205,Svalbard and Jan Mayen,Norweigian Krone,NOK,578,EMEA?
206,Swaziland,Lilangeni,SZL,748,Africa
207,Sweden,Swedish Krona,SEK,752,Europe
208,Switzerland,Swiss Franc,CHF,756,Europe
209,Syrian Arab Republic,Syrian Pound,SYP,760,Asia
210,"Taiwan,Province of China",New Taiwan Dollar,TWD,901,Asia
211,Tajikistan,Somoni,TJS,972,Asia
212,"Tanzaniza,United Republic of",Tanzanian Shilling,TZS,834,Africa
213,Thailand,Baht,THB,764,Asia
214,Timor-Leste,U.S. Dollar,USD,840,Asia
215,Togo,CFA Franc BCEAO,XOF,952,Africa
216,Tokelau,New Zealand Dollar,NZD,554,APAC
217,Tonga,Pa?anga,TOP,776,Asia Pacific
218,Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,780,North America
219,Tunisia,Tunisian Dinar,TND,788,Africa
220,Turkey,Turkish Lira,TRY,949,Europe
221,Turkmenistan,Manat,TMT,934,Asia
222,Turks and Caicos Islands,U.S. Dollar,USD,978,Americas
223,Tuvalu,Australian Dollar,AUD,36,Asia Pacific
224,Uganda,Uganda Shilling,UGX,800,Africa
225,Ukraine,Hryvnia,UAH,980,Europe
226,United Arab Emirates,UAE Dirham,AED,784,Asia
227,United Kingdom,Pound Sterling,GBP,826,Europe
228,United States,U.S. Dollar,USD,840,North America
229,United States Minor Outlying Islands,U.S. Dollar,USD,840,APAC?
230,Uruguay,Peso Uruguayo,UYU,858,South America
231,Uzbekistan,Uzbekistan Sum,UZS,860,Asia
232,Vanuatu,Vatu,VUV,548,Asia Pacific
